forum,query,ndcg_global,ndcg_tenant,top10_overlap,top1_changed,n_candidates
tex,Speed up the compilation of a document with a lot of tikzpictures made with pgfplots,0.8761188631169337,1.0,0.2,True,43541
tex,"How can I add the word ""Chap"" before the chapters numbers in the Toc in class report?",0.9981234097905453,1.0,0.9,False,26890
tex,Are there LaTeX performance profiling tools?,0.9636815226296632,1.0,0.7,False,20599
tex,highlight lines in listings,0.9992088043048915,1.0,0.9,False,22259
tex,lstlistoflistings isn't showing the lstlistingname,0.9968001475792264,1.0,0.9,False,5884
tex,What is the preferable setup for MiKTeX to keep all packages up-to-date easily?,0.9931234424838196,1.0,0.8,False,22982
tex,References citation does not go in a new line,0.9822132445034493,1.0,0.5,False,28272
tex,Undefined Control Sequence. 1.60 \@writefi,0.9970398136574318,1.0,0.9,True,32620
tex,Turn off autorotate in ps2pdf,0.9902645591788445,1.0,0.9,False,1479
tex,Change of column,0.9997606366956172,1.0,1.0,False,14048
tex,Avoid page break in listing,0.9996195947359277,1.0,0.9,False,21571
tex,"Smallcaps ""Đ"" (đ) corrupted",0.9978309053387777,1.0,0.9,False,176
tex,Four smaller pages in one page,0.9960079269695642,1.0,0.9,False,25698
tex,"Section Numbering in ""Convex Optimizaion"" by Boyd et. al. with Koma Script",0.9944056329890191,1.0,0.9,False,19449
tex,LaTeX: Show return symbol at url line break,0.9802006081046662,1.0,0.7,False,37604
tex,Line breaking (or hyphenation?) of references in apalike,0.9981653332045165,1.0,0.7,False,22615
tex,"Get multiple citations; [1-5] instead of [1,2,3,4,5]",0.9925637189903433,1.0,0.7,True,47021
tex,Place to `tikzpicture` next to each other on a slide,0.9877793989403645,1.0,0.8,False,14745
tex,Can I have two different styles of bibliography in the same document?,0.9884209385564159,1.0,0.7,False,46974
tex,Why the language selection of babel affects the page number format?,0.967742731031238,1.0,0.8,False,28163
tex,miktex can't find udmj.cfg,0.9972962650128202,1.0,0.9,False,8608
tex,Presentation - set theory,0.9821392289221101,1.0,0.7,False,10914
tex,Base a class on another class,0.9991551223240568,1.0,0.9,False,11343
tex,Move biblatex label into margin,0.9526471650520312,1.0,0.5,False,14745
tex,How do I make a Word file out of a .tex file?,0.9980649378813222,1.0,0.8,False,30939
tex,Square root sign has dotted line (PGF/TikZ + XeLaTeX). Is this a bug? Is there a workaround?,0.9454909468804393,1.0,0.5,True,26823
tex,\xRightarrow (text),0.9973480224804734,1.0,0.8,False,17284
tex,How to draw RDF graphs in LaTeX?,0.9435023649303588,1.0,0.3,False,26354
tex,"In IEEE conference latex file, my pictures and tables are merged/overlapped with text",0.9933467287205131,1.0,0.8,False,44207
tex,Using sin inside of tikz ``\foreach``,0.9965952012190517,1.0,0.9,False,47211
tex,Printing a book,0.9999987571113466,1.0,1.0,False,7902
tex,Set multicolumn width to default table width,0.9955861194627841,1.0,0.9,False,23036
tex,Should subscripts in math mode be upright?,0.9998352362613219,1.0,0.9,False,6352
tex,Storing and manipulating real numbers,0.984115770142062,1.0,0.6,False,13101
tex,Is there a package or scripted solution to generate the program for scientific conferences,0.9699382625309922,1.0,0.6,False,26045
tex,Problem with the driver option,0.9983827036854599,1.0,0.9,False,19764
tex,How to get a small letter version of \mathcal{O},0.999779831989029,1.0,1.0,False,24900
tex,Drawing labels on Finite State Machines with TikZ,0.9241565448181828,1.0,0.6,True,18663
tex,How to highlight few sentences in a paragraph?,0.9780925121558558,1.0,0.7,False,4378
tex,"\begin{equation}: ""Display math should end with $$"" error?",0.9889727559321106,1.0,0.8,False,45529
tex,"Do I need a specific package for ""\N""",0.9957197017641887,1.0,0.8,False,27994
tex,How to add extra spaces between rows in tabular environment?,0.9957840362479429,1.0,0.9,False,23132
tex,Removing repeated page numbers from table of contents,0.9922949782306634,1.0,0.9,False,29370
tex,Extra space between gloss and translations,1.0,1.0,1.0,False,9826
tex,How to style text in hyperref \url?,0.9739718097730621,1.0,0.6,True,26194
tex,National flag using TikZ,0.9822711807211041,1.0,0.7,False,45958
tex,Commutative diagram with rounded arrows,0.9987474870396037,1.0,0.9,True,5050
tex,Alternatives to FF Nexus,0.9903884386176668,1.0,0.8,False,1492
tex,Bump right-aligned text to next line if no room,0.9797857515494601,1.0,0.5,False,35721
tex,Verbatim inside tikz node,0.9984926763975412,1.0,1.0,False,14161
tex,Place node at right of and above of centered,0.9990023135772219,1.0,0.9,False,22462
tex,Changing font in listings-package,0.9990590570824444,1.0,0.8,False,31072
tex,"Visualising a matrix as an image, or specifying directly values for segments rather than for vertices",0.978835589144854,1.0,0.7,True,24585
tex,Aligning numbers by decimal points in table columns,0.9991237490889887,1.0,0.9,False,26501
